job_title,company_name,company_location,work_method,post_date,work_time,job_desc
CH Field Operator,Horizontal Wireline Services,"Irwin, PA",On-site,1 week ago,Full-time · Entry level,"About the job
CH Wireline Operator (inclusive of Junior, Senior & Lead Operator)

Job Summary

The Cased Hole Wireline Operator role and job function consist of learning all areas of job preparation and executing a safe and successful operation involving a wireline operation. The Cased Hole Wireline Operator reports directly to the crew leader (Engineer) and the base Operations Management team.

Job Duties
Safely operate heavy equipment of various sizes and weights utilized in wireline operations
Assist in all pre-job load-outs, checks, and equipment readiness before dispatch to a location
Follow all government, company, and client policies and procedures
Identify any issues and report to the appropriate departments
Work an on-call schedule and dispatch to a job site when needed
Successfully achieve and obtain any required training qualifications associated with the position
Remain current on all third party and company-specific training programs
Perform any other duties necessary to help drive our Vision, fulfill our Mission, and abide by our Organizational Values

Knowledge, Skills, Abilities And Other Characteristics
Possess High School/GED or Undergraduate degree (degree in Geology or Engineering preferred)
Ability to obtain BATFE clearance for Employee Possessor of explosives
Prior wireline operator experience preferred
Possess basic knowledge of heavy-equipment operating principles
Willingness to learn and develop under direct supervision on how to safely operate heavy equipment of various sizes and weights utilized in wireline operations
Possess strong working knowledge on how to load, transport, and assemble perforating and plug setting equipment
Ability to drive and operate equipment under various working conditions
Ability to understand and carry out written and oral instructions
Ability to meet job schedule deadlines with dependability and consistency
Possess or obtain a CDL and Hazmat endorsement license within the company standard timeline
Possess or obtain company-specific certifications or requirements related to the operation of crane and pressure control equipment
Ability to read and interpret documents such as safety manuals, operational instructions, and policies/procedures
Ability to effectively communicate with peers, subordinates, and supervisors
Ability to solve problems in the field and interpret data presented in written, diagrammatic or schedule form
Willingness to learn and develop the expertise needed to progress to the Operator position

Necessary Physical Abilities To Perform Essential Job Functions

Safety of our employees is a key priority of Horizontal. Thus the company must ensure that applicants are physically able to perform certain essential functions of the Cased Hole Operator position. Applicants should be able to physically perform the following activities (or be able to perform these activities with a reasonable accommodation):
Routinely lift and/or move up to 75 pounds
Sit, speak or listen actively for extended periods of time
Possess full use of both hands to feel or manipulate objects, tools, or controls
Perform an extended reach with arms to manipulate objects, tools, or controls
Walk short distances, sometimes over uneven terrain
Perform manual work requiring periods of extensive physical exertion, sometimes under extreme weather conditions"
Advanced Emergency Department Tech - FT Evenings,Torrance Memorial Medical Center,"Torrance, CA",On-site,2 weeks ago,$20.69/hr - $29.87/hr (from job description) · Full-time · Mid-Senior level,"About the job
Description

Under the supervision of a RN, the Advanced Emergency Department Technician (AEDT) works cooperatively with all team members to provide technical patient care services. The Advanced Emergency Department Technician assists nurses and physicians in the performance of their functions. The AEDT is responsible for adhering to all standards of care and for promoting teamwork among coworkers.

Core Competencies
May deliver oxygen therapy as required based on physician orders or initial assessment and notify physician.
Communicates and documents finings of assessment to appropriate member of care team for needed interventions, and implements appropriate interventions within their scope, while maintaining confidentiality of patient.
Recognizes abnormal findings from assessment and reports them immediately to ED provider, including but not limited to: Vital signs that are outside the normal range for age of the patient, deformities and swelling, changes in orientation status, acute changes in breathing patterns and/or pulse oximetry.
Assists ED Provider with bedside procedures such as but not limited to Chest Tube insertion, Lumbar Puncture, Suturing, Splinting.
Performs tasks/procedures as directed: Connects patients to bedside monitors, completes and orders 12 lead EKG's to be read by ED provider, collects and records Intake and Output. collects specimens for and completes point of care testing, completes quality control validation on all devices after appropriate validation.
Ensures IO/IV access, blood draw bedside labeling is accurate using two patient identifiers at the patient bedside.
Administers IV fluids with no additives
Follows ACL and PALS Protocols
Transports ACLS patients to floor with 2nd person
Performs first aid care such as cleaning and irrigating wounds with saline and applying appropriate dressings to wounds.
Performs shave preps and clipping to prepare for appropriate procedures.
Applies external urine collection devices for male or female anatomy and collects and documents description and amount of urine collected.
Obtains the appropriate size crutches for patients height and ensures the proper use of crutches by observing return demonstration of use
Provides health care services in own job category to the following age groups as applicable to job functions and as appropriate in regularly assigned clinical areas: Infancy: birth - 1 year Toddler: 1 year - 3 years Pre-School: 3 years - 6 years School Age: 6 years - 12 years Adolescent: 12 years - 18 years Adulthood: 19 years - 64 years Older Adult: 65 years >

Education

DegreeProgramHigh School Diploma/GED or Higher EducationGeneral Studies

License / Certification Requirements

BCLS or ACLS CertificationPALS Certification.Must have a California Paramedic License

Compensation Range:

$20.69 -$29.87 / Hour"
Pelvic Health Physical Therapist,"Rebound Physical Therapy, OR","Bend, OR",On-site,1 month ago,Full-time,"About the job
Position: Pelvic Health Physical Therapist
Location: Bend, Oregon
Experience: 3+ Years of Outpatient Experience Preferred
Employment Status: Full-Time

Rebound Physical Therapy is looking for full and part time Physical Therapists to join our Pelvic Health team in Central Oregon.

We are a well-respected, progressive private practice and strive to provide the highest quality patient care in our area. Recognized as the leader in orthopedics, sports medicine and spine care, Rebound is well known as having most specialty programs in our area. Programs with highly trained and certified therapists serving our communities with Vestibular, Lymphedema, Chronic Pain, Pelvic Health, Work Injury, TMJ, Acupuncture and Hand Therapy to name a few.

Rebound is proud to support and develop these programs to serve the needs of our communities. We’re looking to further build our Pelvic Health team to provide Women’s and Men’s support in multiple locations

Company Perks:
⦁ Competitive base salary plus incentive program
⦁ 401k package with matching
⦁ Comprehensive benefits package including health, dental and vision insurance, flexible spending plan, life insurance, Long-Term Disability and Short-Term Disability insurance, generous Paid Time Off, and sabbatical leave
⦁ Therapist-owned practice with multiple clinic locations throughout Central Oregon and the most specialty services in the region
⦁ Progressively minded practice in a fun and collaborative work environment with state-of-the-art equipment
⦁ Flexible schedule
⦁ Continuing education
⦁ Multiple opportunities for professional development and specialization
⦁ Clinical mentorship
⦁ Corporate discount plans
⦁ Employee Assistance Program (EAP)
⦁ Family-friendly work environment
⦁ Investment from a company that wants you to succeed and thrive

Qualifications:
⦁ Oregon Physical Therapist licensed or immediately eligible for Oregon licensure
⦁ 3+ years of outpatient orthopedic experience preferred
⦁ Pelvic Health experience preferred
⦁ Must be comfortable treating post-operative, sports medicine, and spine conditions caseload
⦁ Exceptional manual therapy skills
⦁ Experience and enthusiasm working with a diverse patient population and treating a full range of ages and diagnoses
⦁ Has a desire to maintain positive relationships with our medical referral resources and community
⦁ Have a fun, positive and energetic personality

About Rebound Physical Therapy
Rebound Physical Therapy is a well-respected, progressive, therapist-owned practice with ten clinics located throughout Central Oregon. Our practice specializes in orthopedics, sports medicine and spine care, and we are official PT providers for the US Ski and Snowboard Team. Our therapists have extensive experience and training in their respective areas of specialty.
Beautiful Central Oregon area is nestled in the pine forests of the Cascade Mountains along the Deschutes River and near high mountain lakes, home to a multitude of outdoor sports and activities including skiing, mountain biking, trail running, fly fishing, camping, hiking, and white-water sports to name a few.

COVID-19 Considerations
All staff and patients must follow CDC COVID guidelines for health care facilities. Masks are strictly required for everyone while in the clinic.
As a health care facility, we are subject to the Oregon Health Authority Administrative Order PH 42-2021 (COVID-19 Vaccination Requirement), effective September 1, 2021, mandating full vaccination or a valid exemption due to a medical condition or a sincerely held religious belief. Any offer of employment for this position will be conditioned upon proof of the same."
New Product Development (Vietnamese speaking preferred),Eastland Food Corporation,"Jessup, MD",On-site,2 weeks ago,Full-time,"About the job
Who We Are?
Eastland Food has become a recognized company when it comes to reputability, responsibility, and product quality. We provide our international and domestic suppliers with an easy and reliable means of getting products to their customers. We have made a name for ourselves in the industry and will continue to do so in the years to come.
What We Do?
Eastland Food imports, exports, and distributes high-quality food products from Asia. We believe in delivering the joy of food from Asia to our customers consistently and reliably. In order to make that belief a reality, we seek out vendors that serve the Asian community with the same dedication and passion as we serve our own.
How are We Different?
Eastland Food sources only the best of Asia to our customers. We only work with established businesses with a proven track record. We strive to make it as simple as possible for our customers to source the finest Asian products available.
We have been sourcing premium Asian products since 1981. Only products that have been rigorously tested for quality will make it on our catalog. We are also constantly on the lookout for great new products to show our customers.
Job Descriptions:
Conceptualize products and turn ideas into finished marketable SKUs, including every aspect of new product development cycle handling initial concept through launch.
- Identify new product opportunities to expand and support company’s product lines.
- Generate ideas for new products and research the feasibility in terms of profitability, sourcing availability and compliance with US food safety regulations.
- Facelift old products, including packaging, label, size, formulation. The revival of the old products aims to improve the competitive advantages, to increase the sales revenue of products and to elevate the reputation of the company.
- Participate in NPD Committee product selection, obtain any comments from the NPD committee
Research, source and evaluate the food processing suppliers with good quality, competitive price, good manufacturing practice, and U.S. food safety regulations and government compliance.
- Research and pursue new supplier opportunities.
- Maintain and develop stronger partnership with current suppliers.
Perform the sensory testing for samples to be qualified in the development of the new products.
- Oversee all procedures of sample taste testing.
- Prepare reports on the results of the taste testing and the feedback for improvement.
- Refine and improve formulations based on the test results and feedback.
Negotiate business with suppliers, including price, packaging cost, minimum order requirement, agreement of distribution right, terms of supply, service, quality and payment, and marketing fund support.
Conduct market research as well as competitor products, analyze suggested retail price (SRP) estimates, demand forecasts, PO planning and investment.
Collaborate with cross-functional teams to ensure that every phase of NPD project proceeded as scheduled and new products arrived for sales on-time including,
- Collect, pre-screen, provide all required import and food safety documents to Import team. Communicate and pass on comments received from Import team to suppliers.
- Provide FOB/CIF price to Pricing team for price class estimation and make suggestions for the competitive prices and volume buy tiers.
- Oversee every detail of the packaging design handling from brainstorm with Designer and Brand teams until the final digital proof with suppliers
- Set up new supplier applications in system with Accounting team
- Responsible to suggest the first set of POs and provide all required internal forms and documents to Purchasing team. Record, monitor, and control NPD purchasing budget and investment activities with Purchasing team.
- Collaborate on launching plan, consumer talking and product selling points, sales strategy and goal, creating POSMs, A&P budget, product training and education with Brand team.
Be the point of contact with suppliers to ensure alignment on NPD project details before and after productions. Anticipate, analyze, resolve NPD project issues if arise.
Track NPD sales performance, inventory movement, and shipment arrival schedules. Analyze on data and make suggestions to Brand and Sales teams in order to help them achieve revenue target of new products purchased.
Qualifications
1-3 years of progressive work experience in product development, marketing, or a related field
Experience working in food industry
Bachelor’s degree in business administration, marketing, product development, communications, economics, statistics, or a related field
Demonstrate success in consumer-centric brand strategies, including product launches and execution of sales and marketing efforts
Highly effective project management, prioritization, multi-tasking, and time management skills to meet deadlines
Preferred knowledge of specialty Asian cuisine, culture, and language.
We started Eastland Food with family — and we’ve been growing it ever since. We promote diversity. With over 10 languages spoken, and a diverse workforce from more than 10 countries around the world, our core strength is the ability to truly understand many ethnic food cultures and provide them to the right target markets across America, in order to maximize value for both our customers and our vendor partners
Eastland Food Corporation is an equal opportunity employer. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. All aspects of employment, including hiring, promoting, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate based on race, color, religion, marital status, age, national"
Management Internship,Menards,"Lincoln, NE",On-site,3 weeks ago,Internship · Internship,"About the job
Job Description

Part-Time

Make BIG Money at Menards!
Extra $3 per hour on Weekends
Store Discount
Profit Sharing
Exclusive Discounts for gyms, car dealerships, cell phone plans, and more!
Flexible Scheduling
Dental Plan
On-the-job training
Start building an exciting and rewarding career in retail with a growing company as a Management Intern with Menards! Immediate openings available!

Our Management Internship is a paid, hands-on training program designed to develop and prepare you for the world of Retail Management.

As you progress through the 12-week Management Internship program, your General Management team, Department Managers, and Store Team Members will work alongside you to develop your understanding of our business and help prepare you to take on a management role in the near future!

This is a paid part-time position that will have the opportunity to develop stronger organizational, Communication and time management skills as well as the opportunity to gain hands-on management experience.

Apply today! We are hiring immediately and are excited to talk to you about the great opportunities available with Menards!"
IT Support Technician,HWiTS (Wireless IT Services),"New York, NY",On-site,3 months ago,Temporary,"About the job
IT Technician duties and responsibilities
Installation of PC hardware
Check and maintain computer hardware such as mouses and keyboards
Install, configure and manage software and their functions according to specifications
Develop and maintain local networks
Ensure security and privacy of networks and computer systems
Assist in and plan training, development and education for new software and hardware
Troubleshoot to identify and resolve problems in a timely manner
Maintain records/logs of repairs and fixes
Maintain hardware and software inventory
Maintain expenses
Identify computer or network equipment shortages and place orders when necessary

IT Technician requirements
Previous working experience as IT Technician for (2) year(s)
Degree in Computer Science, engineering or similar relevant field
Problem solver and attention to details
Excellent communication and interpersonal skills
Outstanding organizational and time-management skills
Hands on experience with diverse computer systems and networks
In depth knowledge of internet security and data privacy principles
Certification as IT Technician will be a big plus"
Community Assistant,The NRP Group LLC,"San Antonio, TX",On-site,2 weeks ago,Full-time · Entry level,"About the job
Come join NRP’s A+ team! We’ve been recognized as a “Top Workplace” because we promote a culture where our team can build long-term careers and connections. As we grow as a company, our goal is that you will grow in your career.

NRP has been recognized with several industry awards including Top Workplaces; Best and Brightest Companies to Work For; and National Apartment Association’s Best Places to Work.

We value our employees by offering a competitive benefit package including:
Commission and bonus opportunities
Paid vacation and sick leave
11 Paid holidays
Paid maternity & parental bonding leave
Short & long term disability
Medical/Dental/Vision/Life Insurance
401(k) Match
Training, certification, & growth opportunities
Employee referral & recognition programs
For over 25 years, NRP has been dedicated to building quality homes for our residents, regardless of income. The NRP Group is a full-service multifamily developer, general contractor, and property manager with assets and operations in Ohio, Texas, North Carolina, Virginia, Florida, Michigan, Indiana, Pennsylvania, Maryland, New Jersey, New York, and Massachusetts.

Visit www.NRPGroup.com for more information.

Come join The NRP Group as a Community Assistant at our San Antonio community, Acero!

Under the direction of the Community Manager, the Community Assistant is responsible for ensuring excellent customer service in the daily management of the community, coordinating of all aspects of property operations, and working in the capacity of the Community Manager in his or her absence. The Community Assistant role has a strong emphasis on managing administrative aspects of the community while working to establish a quality living environment for residents.

Essential Functions Statement(s)

Financial/Administrative
Maximize cash flow at the property by maximizing revenue, minimizing delinquencies, ensuring timely rent collection, monitoring banking activities and daily deposits, and contacting residents to collect overdue rent
Ensure all Yardi data is correct by monitoring input and report functions, accuracy and timely preparation of leasing activities, A/R cash receipts, A/P invoices, statements of disposition, monthly closing procedures, and late fees
Assist Community Manager in meeting targeted revenue goals by exceeding occupancy budgets, creating market incentives, improving resident retention, and monitoring property’s financial performance
Complete re-certifications as required by The NRP Group policies and procedures at tax credit communities.
Maintain and organize all resident files
Responsible for maintaining accurate payroll reporting including e-time editing and bonus preparation
Marketing
Support the leasing team by leasing apartments, responding to telephone inquiries, qualifying applicants, show apartments, ensuring all move-in paperwork is accurately prepared
Manage renewals and active leases, tracking expirations, preparing expiration letters and drafting renewal leases
Maintain on-going, in-depth knowledge of associated market to give a competitive edge, perform monthly market studies and physically shop competition bi-monthly
Assist in monitoring compliance with Fair Housing regulations, Tax Compliance regulations, and other laws as they relate to property specific guidelines in occupancy standards
Review and analyze weekly traffic reports and numbers, assist with weekly marketing meetings
Monitor direction of rental activity and all onsite sales, marketing outreach, and advertising plans
Customer Service
Assists in planning and preparation of resident events
Complete a daily inspection of the property and market-ready units
Assist with the monitoring and directing of service operations to ensure service requests are completed within 24 hours and curb appeal standards are met
Provide excellent customer service and display courteous and professional attitude toward all customers
Maintain availability or coverage for emergencies, on-call duties, resident functions, and weekends
Advise Community Manger of conditions of the community affecting the resident’s safety, dissatisfaction, and to preserve the asset
Available for emergencies, on-call duties, resident functions, community affiliated functions and weekends
Personal Development
Assist Community Manager in recruiting and selecting team members, understanding and adhering to the hiring policies, procedures, and core values
Assist Community Manager in evaluating and supervising team members
May occasionally be required to assist at other properties
Run errands to support the property as necessary
Perform other duties as required
Skills & Abilities

Education: High school diploma or equivalent, college preferred, Tax Credit Specialist (TCS) accreditation or any other LIHTC designations preferred

Experience: Two years in a Community Assistant, property management experience or 4-year degree in a related field; working knowledge of applicable Landlord Tenant Laws, Fair Housing Regulations, IRS Section 42 - LIHTC Program and other laws as they relate to property specific guidelines and occupancy standards

Technical Skills: Proficient computer skills including the Microsoft Office Suite, Yardi Experience preferred

Other Requirements: Valid Driver’s License and reliable transportation

The NRP Group is committed to a policy of assuring that all employees and applicants for employment are recruited, hired, assigned, placed, transferred, demoted, laid off, terminated, paid, trained, and generally treated during employment on the basis of qualifications and merit; without discrimination due to color, race, religion, sex (including pregnancy or marital status), sexual orientation, gender identity and expression, age, national origin, ancestry, veteran status, military status, disability, genetic information, citizenship, or any other classification or activity protected by federal, state, and local law and ordinances."
Sales Associate - US,EXPRESS,"Albuquerque, NM",On-site,2 weeks ago,Full-time · Entry level,"About the job
Overview

This is a unique and exciting time to join Express. Since launching our EXPRESSway Forward strategy in 2020, we have been steadily advancing a transformation from being known as a store in the mall to a brand with a purpose, powered by a styling community. We believe that clothes can serve a higher purpose to make people look the way they want to look and feel the way they want to feel, and our Express brand purpose – We Create Confidence & Inspire Self-Expression – speaks to the role our brand can play in their lives.

Today, we are reimagining our retail and outlet stores with a spirit of hospitality so everyone who walks through our doors has a positive experience and leaves wanting to be a part of Generation Express. We call our stores ‘Style Studios’ and our sales associate teams ‘Style Squads’ – and they are the most important part of our transformation. Our culture is defined by three values – Express Yourself, Express Together, Express Success – and we invite you to join us and help build, activate and amplify the Express styling community.

For more information about Express, Inc. please visit www.express.com .

Responsibilities

Location: __________

The Sales Associate is responsible for providing a great in-store shopping experience for customers. The Sales Associate assists with additional tasks including, but not limited to, stocking, cleaning, and folding merchandise.

Flawless Execution

Maintain a clean and organized sales floor, checkout, fitting room, and stock room to ensure the store is safe and inviting to customers.
Follow company policies and procedures to ensure the safety of all our associates and customers.
Assist with product launch changes according to company SOP.

Provide a Great Customer Experience

Deliver on all aspects of the customer experience model.
Process transactions quickly and accurately reducing the customers wait time.
Positively resolve customer service-related issues as they arise and determine resolution or escalate further – communicate all issues and resolutions to Store Management.
Drive credit and loyalty member programs by explaining benefits and encouraging customers to participate.

Other essential functions may occur as directed by your supervisor.

Essential Qualifications

Education: High School or Equivalent
Years of Experience: 0-2 of relevant job experience - minimum 6 months
Proficient in use of technology (iPad, registers)
Meets defined availability criteria, including nights, weekends and non-business hours
Meets physical requirements

Preferred Qualifications (skills And Abilities)

Previous retail experience preferred
Customer service skills and ability to interact with customers
Strong verbal and written communication skills specifically with customers, sales leadership team and associates
Demonstrated collaborative skills and ability to work well within a team

Closing

As an equal opportunity employer, Express does not discriminate in hiring or terms and conditions of employment on the basis of any federal, state, or locally protected class. Express only hires individuals authorized for employment in the United States.

Notification to Agencies: Please note that Express does not accept unsolicited resumes or calls from third-party recruiters or employment agencies.In the absence of a signed Master Service Agreement and approval from HR to submit resumes for a specific requisition,Express will not consider or approve payment to any third-parties for hires made."
Floor Technician II,TriStar Greenview Regional Hospital,"Bowling Green, KY",On-site,1 week ago,Part-time · Entry level,"About the job
Description

Introduction

Do you want to join an organization that invests in you as a(an) Floor Technician II? At TriStar Greenview Regional Hospital, you come first. HCA Healthcare has committed up to $300 million in programs to support our incredible team members over the course of three years.

Benefits

TriStar Greenview Regional Hospital, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include:

Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation.
Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more.
Free counseling services and resources for emotional, physical and financial wellbeing
401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service)
Employee Stock Purchase Plan with 10% off HCA Healthcare stock
Family support through fertility and family building benefits with Progyny and adoption assistance.
Referral services for child, elder and pet care, home and auto repair, event planning and more
Consumer discounts through Abenity and Consumer Discounts
Retirement readiness, rollover assistance services and preferred banking partnerships
Education assistance (tuition, student loan, certification support, dependent scholarships)
Colleague recognition program
Time Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence)
Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income.

Learn More About Employee Benefits

Note: Eligibility for benefits may vary by location.

You contribute to our success. Every role has an impact on our patients’ lives and you have the opportunity to make a difference. We are looking for a dedicated Floor Technician II like you to be a part of our team.

Job Summary And Qualifications

Responsible for the floor care of all resilient flooring and carpet throughout the hospital. Performs general Hospitality Associate, Environmental Services I duties when needed.

Operational knowledge of all floor equipment to include vacuums, burnishers, scrubbers, wet vacs, carpet extractor, imop.
Knowledge of floor procedures to include dust mopping, mopping, stripping, application of floor finish, burnishing.
Operational knowledge of all floor chemicals used in the hospital.
Operational knowledge of floor pads used for daily maintenance, burnishing, and stripping.
Ensures proper signage is placed at the appropriate locations when hazards (i.e. wet floor warnings) are plausible.
Responsible for proper handling of all chemicals as well as following proper infection control policies and proper PPE use.
Demonstrates a knowledge of equipment used to maintain and clean floors. Can identify mechanical issues with the equipment to be reported timely and appropriately.
Responsible for cleaning and maintaining of flooring in patient and non-patient areas, offices, common areas, hallways, and common area rest rooms to a high standard.
Maintains a daily, weekly and monthly floor maintenance schedule.
Responsible for the care and cleaning of all floor equipment

What Qualifications You Will Need

HS Diploma or equivalent preferred
1+ years’ experience for the care and maintenance of resilient floors preferred

This role requires you to be fully vaccinated for COVID-19 based on local, state and /or federal law or regulations (unless a medical or religious exemption is approved).

TriStar Greenview Regional Hospital is a 200+ bed facility serving Southern Kentucky and surrounding areas. Recognized by the Joint Commission as a Top Performer on Key Quality Measures®, TriStar Greenview is a national leader in providing quality healthcare. Home of Kentucky's first CardioMEMS™ HF System, we are also an accredited chest pain center that provides state-of-the-art cardiac care to patients managing heart failure. The facility is also a Certified Primary Stroke Center.

""Good people beget good people.""- Dr. Thomas Frist, Sr.

HCA Healthcare Co-Founder

We are a family 270,000 dedicated professionals! Our Talent Acquisition team is reviewing applications for our Floor Technician II opening. Qualified candidates will be contacted for interviews. Submit your resume today to join our community of caring!

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
Communications and Non-Profit Management Internship Summer 2023,Institute for the Study of War,"Washington, DC",Hybrid,1 month ago,Internship,"About the job
ISW Internship Program Overview

ISW is offering remote, hybrid, and in-person internships for Summer 2023.

The Institute for the Study of War (ISW) is committed to training the next generation of national security leaders through its innovative educational programs. ISW seeks motivated and experienced college students or recent graduates to join our intern team. ISW offers internships across diverse research portfolios and departments, including Russia, China, Afghanistan, and Iran's proxy networks. ISW also offers internships in Geospatial Intelligence and National Security Technologies and in non-profit management, including Business Development and Editorial.

Why Work for ISW?
ISW believes that ground realities must drive the formulation of strategy and policy. In pursuit of this principle, ISW conducts detailed open-source intelligence analysis to provide timely and accurate information on current conflicts and security threats directly to policymakers and warfighters.

Interns at ISW have an unparalleled opportunity to analyze conflicts in ways that directly inform policy-makers on some of the most pressing issues facing American national security. Our interns work directly with analysts. They receive classroom education, regular leadership engagement, and a chance to work with cutting-edge technologies employed in business and the intelligence community. Interns have the opportunity to stand at the front lines of military research and policy development, tackling the latest crises in the headlines.

The ISW Internship Program is one of three core education programs housed within The General David H. Petraeus Center for Emerging Leaders, launched to identify, educate, and develop the future cadre of leaders committed to America’s national security. ISW views interns as an integral component of its team. ISW has worked with interns to draft, edit, and publish their own research under the mentorship of senior analysts. It has also hired many interns onto its staff.

Communications and Non-Profit Management Internship: ISW’s Operations Team offers a unique opportunity to candidates interested in learning more about non-profit management and communications with an eye towards national security. Interns will hone their skills supporting a variety of communications functions, including media relations and monitoring; writing and copyediting; social media monitoring and management; digital content creation; and media and policy research. Over the course of their semester, interns will receive guidance from ISW’s professional communications and publishing staff, gradually expanding their knowledge of communications strategy and sharpening their ability to improve written products. Interns have the opportunity to support the review of graphical products, maps, and podcasts as well as assist in special projects and company initiatives. Interns will help develop and execute social media campaigns across platforms like Twitter, Facebook, LinkedIn, and more. Interns will also have the opportunity to support the planning and execution of ISW’s events, both internal and external. The internship provides a great opportunity to train alongside a small and flexible management team operating in an engaging and fast-paced working environment. This is a full-time internship (five days per week), but part-time work will be considered on a case-by-case basis.

Qualifications

Candidates must be motivated and organized college students or recent graduates with demonstrated expertise in a related field;
Candidates must possess excellent writing, editing, and oral communication skills;
Candidates should have experience adhering to a codified writing style guide such as the AP Stylebook, the Chicago Manual of Style, or the American Psychological Association Stylebook;
Candidates should have experience reviewing the written work of others; this can include peer reviews of papers, work in a college writing center, or other copyediting experience in a professional or academic setting;
Candidates should be self-motivated, independent, creative, and capable of working in a dynamic and fast-paced environment;
Candidates must show commitment to—and interest in—the core mission and values of ISW;
Experience with Adobe products (InDesign, Illustrator) or graphic design services like Canva is a plus.

Summer 2023 Internship Program Dates: ISW internships start June 6, 2023. The program will run until August 25. Interns must both be authorized to work in the United States and be physically present in the United States during their internship tenure. Working remotely outside of the United States is not authorized.

Instructions: Please upload your resume, cover letter, and writing/editing sample. If submitting an editing sample, make sure the sample demonstrates the effect of your edits in some manner. Embedded tracked changes work for this purpose as do screenshots of your communications with the writer. You may include full-page screen captures or scans of edited content, but make sure the resolution is high enough for the image to be readable. You may also include a short synopsis explaining how your edits improved the document. Your cover letter and work sample should be no longer than five pages combined; the work sample can be excerpted from a longer paper.

ISW will work with students to gain academic credit for internships where applicable.

ISW Scholarship Application
In the summer of 2023, the Institute for the Study of War will offer intern candidates up to a $1,000 monthly living stipend as part of a scholarship program.* To be considered for the scholarship, candidates must upload a scholarship application as part of their internship application. Applications will be reviewed on a rolling basis until May 1, 2023.
Candidates will be assessed based on the following criteria:
Ability to contribute as a member of one of ISW’s research, operations, business development, or external relations teams; and
Financial need, such that an unpaid internship would not be possible without assistance.

To be considered for the scholarship, candidates must upload a scholarship application as part of their internship application.
Within the scholarship application, candidates should upload a 2- to 3-page cover letter which answers each of the following questions. (This should be a different cover letter than the one used for the internship application itself.)
Which ISW internship is your top choice? Why do you believe you are qualified?
What do you believe to be the most pressing national security problem the US faces today? What solution(s) would you propose?
Where do you see yourself in your future career? How will an ISW internship help you get there?
Why have you chosen to apply for this supplemental scholarship?
Are you currently receiving federal financial aid and/or need-based aid from your university? Feel free to describe using as much detail as you are comfortable.

*Please note that the up to $1,000 monthly scholarship is classified as taxable income."
